Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Area Count,Crop Flow(bu/h),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Moisture(%),Speed(mph),Swath Width(ft),Yield (Dry)(bu/ac),Yield (Wet)(bu/ac),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac),geometry,MUSYM
-86.18215903,40.99172544,AULT,GOTT,EAST93,On,12.33,0.205,10/10/2012,Yes,817.03,11.1,0.365,33.0,8.453,8.453,507.16,507.16,POINT (-86.18215903 40.99172544),
-86.18215618,40.99172578,AULT,GOTT,EAST93,On,104.53,1.742,10/10/2012,Yes,817.18,11.2,0.336,33.0,77.89,77.89,4673.2,4673.2,POINT (-86.18215618 40.99172578),
-86.18215188,40.99172632,AULT,GOTT,EAST93,On,184.59,3.076,10/10/2012,Yes,817.36,11.3,0.942,33.0,49.0,49.0,2940.2,2940.2,POINT (-86.18215188 40.99172632),
-86.1821468,40.99172697,AULT,GOTT,EAST93,On,260.0,4.333,10/10/2012,Yes,817.41,11.4,1.094,33.0,59.42,59.42,3565.5,3565.5,POINT (-86.1821468 40.99172697),
-86.18214213,40.99172754,AULT,GOTT,EAST93,On,333.54,5.559,10/10/2012,Yes,817.61,11.5,1.125,33.0,74.11,74.11,4446.7,4446.7,POINT (-86.18214213 40.99172754),
-86.18213766,40.99172802,AULT,GOTT,EAST93,On,322.29,5.371,10/10/2012,Yes,817.79,11.6,1.156,33.0,69.67,69.67,4180.3,4180.3,POINT (-86.18213766 40.99172802),
-86.18213199,40.99172876,AULT,GOTT,EAST93,On,309.42,5.157,10/10/2012,Yes,817.91,11.6,1.186,33.0,65.25,65.25,3914.9,3914.9,POINT (-86.18213199 40.99172876),
-86.18212499,40.9917294,AULT,GOTT,EAST93,On,329.4,5.49,10/10/2012,Yes,818.0,11.4,1.217,33.0,67.68,67.68,4060.5,4060.5,POINT (-86.18212499 40.9917294),
-86.18211756,40.99172988,AULT,GOTT,EAST93,On,314.18,5.236,10/10/2012,Yes,818.04,11.2,1.277,33.0,61.5,61.5,3689.7,3689.7,POINT (-86.18211756 40.99172988),
-86.18211031,40.99173016,AULT,GOTT,EAST93,On,284.99,4.75,10/10/2012,Yes,818.21,11.4,1.309,33.0,54.45,54.45,3266.9,3266.9,POINT (-86.18211031 40.99173016),
